machine_id,shift_date,shift,planned_production_time,actual_run_time,ideal_cycle_time,total_units_produced,good_units
1,2026-01-01,morning,480,400,1.0,350,320
1,2026-01-01,afternoon,480,460,1.0,420,400
1,2026-01-02,morning,480,380,1.0,310,290
1,2026-01-02,night,480,440,1.0,390,370
2,2026-01-01,morning,480,470,0.8,550,530
2,2026-01-01,afternoon,480,450,0.8,520,490
2,2026-01-02,morning,480,460,0.8,540,510
2,2026-01-02,night,480,430,0.8,500,470
3,2026-01-01,morning,480,300,1.2,200,180
3,2026-01-01,afternoon,480,320,1.2,220,200
3,2026-01-02,morning,480,350,1.2,250,230
3,2026-01-02,night,480,310,1.2,210,190
1,2026-01-03,morning,480,420,1.0,370,350
1,2026-01-03,afternoon,480,450,1.0,400,385
2,2026-01-03,morning,480,475,0.8,560,545
2,2026-01-03,night,480,440,0.8,510,495
3,2026-01-03,afternoon,480,360,1.2,260,240
3,2026-01-03,night,480,330,1.2,230,210
